description,name,longitud,latitud
,San Ramón,-70.647184,-33.542156
,Renca,-70.713522,-33.403697
,Pedro Aguirre Cerda,-70.670953,-33.488703
,La Granja,-70.619992,-33.538966
,El Bosque,-70.673269,-33.553833
,Cerrillos,-70.70842,-33.49217
,Estacion Central,-70.701824,-33.462054
,Independencia,-70.66166,-33.420431
,Lo Barnechea,-70.501523,-33.362547
,San Bernardo,-70.705338,-33.591989
,San Joaquín,-70.62899,-33.492765
,Recoleta,-70.640804,-33.40678
,Quilicura,-70.731123,-33.368822
,Macul,-70.6,-33.49
,San Miguel,-70.64976,-33.48598
,La Florida,-70.582735,-33.533446
,La Reina,-70.557476,-33.440885
,Lo Espejo,-70.694159,-33.518828
,La Pintana,-70.634802,-33.586674
,Cerro Navia,-70.730442,-33.429087
,Ñuñoa,-70.59298,-33.45099
,Huechuraba,-70.63464,-33.37472
,Maipú,-70.755464,-33.509344
,Pudahuel,-70.755812,-33.440915
,Conchalí,-70.67024,-33.39629
,Quinta Normal,-70.702854,-33.41895
,Providencia,-70.60951,-33.43198
,Lo Prado,-70.71962,-33.44206
,La Cisterna,-70.665977,-33.534594
,Penalolén,-70.55387,-33.473558
,Las Condes,-70.568613,-33.40866
,Puente Alto,-70.57933,-33.59476
,Vitacura,-70.571421,-33.38957
,Santiago,-70.650253,-33.445107
