ano,id_region,comuna,nombre_electo,partido,votacion_candidato,total,porcentaje
1992,1,ARICA,ARATA GANDOLFO SANTIAGO,PR,18584,75243,24.70
1992,1,CAMARONES,ALVARADO ARAVENA MANUEL EDUARDO,PR,167,966,17.29
1992,1,CAMIÑA,OSSIO LUZA HUGO,PR,178,997,17.85
1992,1,COLCHANE,MAMANI CASTRO HONORIO,DC,105,372,28.23
1992,1,GENERAL LAGOS,FLORES FLORES SIMON,DC,78,419,18.62
1992,1,HUARA,GARCIA GUACTE FRANCISCO,IND,296,1368,21.64
1992,1,IQUIQUE,SORIA QUIROGA JORGE ALEJANDRO,PC,25197,68234,36.93
1992,1,PICA,LUZA POZO MARIA JETRUDES,IND,203,1616,12.56
1992,1,POZO ALMONTE,SMITH MARIN AUGUSTO ENRIQUE,RN,993,3097,32.06
1992,1,PUTRE,WILLIAMS BRUNA VIOLETA GLENDA,RN,303,1307,23.18
1992,2,ANTOFAGASTA,ARAYA ORTIZ PEDRO,DC,27823,99993,27.82
1992,2,CALAMA,ROWE MOLINA EDWIN,PR,9562,54787,17.45
1992,2,MARIA ELENA,ROJAS MOLINA MANUEL ERNESTO,UDI,3227,7690,41.96
1992,2,MEJILLONES,CARVAJAL FERREIRA MARCELINO,PPD,802,3164,25.35
1992,2,OLLAGUE,CONTRERAS GUZMAN MARIO NOLAND,UDI,100,165,60.61
1992,2,SAN PEDRO DE ATACAMA,BERNA MARTINEZ SANDRA,IND,259,1419,18.25
1992,2,SIERRA GORDA,MORENO OLMOS VICTOR,PS,215,819,26.25
1992,2,TALTAL,CASAREGGIO MARTIN CARLOS HECTOR,UDI,834,4904,17.01
1992,2,TOCOPILLA,KURTOVIC RUIZ ALEKSANDER,PR,5007,13306,37.63
1992,3,ALTO DEL CARMEN,BOU BOU CARMEN ANTONIA,IND,523,2203,23.74
1992,3,CALDERA,BIANCHI FALCHI EMILIO JOSE,RN,1201,4987,24.08
1992,3,CHAÑARAL,VECCHIOLA TRABUCCO MYRIAM ROMA,IND,2289,6885,33.25
1992,3,COPIAPO,LOPEZ RIVERA MARCOS,PS,5182,43065,12.03
1992,3,DIEGO DE ALMAGRO,PAEZ CERDA HERNAN,PR,2629,12730,20.65
1992,3,FREIRINA,RUIZ POZO OSCAR,PR,421,2625,16.04
1992,3,HUASCO,GONZALEZ MURILLO GREGORIO,PR,596,3840,15.52
1992,3,TIERRA AMARILLA,PROHENS ESPINOSA RAFAEL,RN,1109,5043,21.99
1992,3,VALLENAR,SANTANA ALVAREZ JUAN HORACIO,PS,3602,23782,15.15
1992,4,ANDACOLLO,CORTES GALLARDO MARCELINA YOLANDA,IND,2801,6927,40.44
1992,4,CANELA,ARAYA ARAYA NORMAN,PC,1000,4992,20.03
1992,4,COMBARBALA,IBAÑEZ GODOY EDUARDO,DC,2100,6599,31.82
1992,4,COQUIMBO,AUGER TORRES JORGE ARMANDO,RN,11165,50602,22.06
1992,4,ILLAPEL,LEMUS ARACENA LUIS,PS,3379,14283,23.66
1992,4,LA HIGUERA,HUERTA CORROTEA JACINTO,DC,394,1755,22.45
1992,4,LA SERENA,PEÑAFIEL VILLAFAÑE ADRIANA VALERIA,RN,19727,58757,33.57
1992,4,LOS VILOS,SALINAS ALTAMIRANO CARLOS,PS,2818,7636,36.90
1992,4,MONTE PATRIA,ALANIZ ARAYA JIL ROJELIO,PC,2730,13366,20.42
1992,4,OVALLE,RODRIGUEZ ARAYA JUAN BAUTISTA,RN,5716,38683,14.78
1992,4,PAIHUANO,HUERTA PIZARRO JUAN LUIS,RN,488,2266,21.54
1992,4,PUNITAQUI,GALLARDO FLORES ALBERTO ORLANDO,UDI,2005,4666,42.97
1992,4,RIO HURTADO,VALENZUELA ROJAS JAIME GARY,RN,904,2546,35.51
1992,4,SALAMANCA,GALLARDO PEREIRA FERNANDO ALFREDO,IND,4234,10761,39.35
1992,4,VICUÑA,ROJAS RIVERA PEDRO SEGUNDO,PR,2647,10481,25.26
1992,5,ALGARROBO,OVALLE LECAROS ALFONSO,RN,1297,4261,30.44
1992,5,CABILDO,CERDA LECAROS EDUARDO,DC,3219,9001,35.76
1992,5,CALERA,CHAHUAN CHAHUAN ROBERTO,IND,6081,24374,24.95
1992,5,CALLE LARGA,RODRIGUEZ VICENCIO VICTOR RENATO,IND,1851,5313,34.84
1992,5,CARTAGENA,CARTAGENA POLANCO OSVALDO,DC,1428,7721,18.50
1992,5,CASABLANCA,VERA DELGADO MANUEL JESUS,DC,1748,9221,18.96
