ano,id_region,comuna,nombre_electo,partido,votacion_candidato,total,porcentaje
2004,1,ALTO HOSPICIO,GALLEGUILLOS CASTILLO RAMON,UDI,3482,9751,35.71
2004,1,ARICA,VALCARCE MEDINA CARLOS,RN,29344,64818,45.27
2004,1,CAMARONES,SALGADO HENRIQUEZ SONIA ELIZABETH,PDC,1777,2806,63.33
2004,1,CAMIÑA,GARCIA CACERES SIXTO,RN,1256,2129,58.99
2004,1,COLCHANE,MAMANI CASTRO HONORIO,PPD,574,1130,50.80
2004,1,GENERAL LAGOS,MENDOZA CHURA GREGORIO MARIO,RN,561,1143,49.08
2004,1,HUARA,ROCHA PANTOJA FELIPE GUILLERMO,PRSD,739,2732,27.05
2004,1,IQUIQUE,SORIA QUIROGA JORGE ALEJANDRO,IND,33602,65105,51.61
2004,1,PICA,INFANTE CHACON IVAN,IND,1841,3064,60.08
2004,1,POZO ALMONTE,SMITH MARIN AUGUSTO ENRIQUE,RN,2431,4419,55.01
2004,1,PUTRE,HUMIRE ALEJANDRO FRANCISCO,UDI,1672,3245,51.53
2004,2,ANTOFAGASTA,ADARO SILVA DANIEL,IND,56946,96390,59.08
2004,2,CALAMA,MOLINA HENRIQUEZ ARTURO,PDC,22759,49418,46.05
2004,2,MARIA ELENA,LAMBERT ESCOBAR SANTIAGO ALBERTO,UDI,1412,3515,40.17
2004,2,MEJILLONES,CARVAJAL FERREIRA MARCELINO,PPD,2436,4384,55.57
2004,2,OLLAGUE,REYGADAS BAVESTRELLO CARLOS,UDI,450,923,48.75
2004,2,SAN PEDRO DE ATACAMA,BERNA MARTINEZ SANDRA,PDC,1387,2665,52.05
2004,2,SIERRA GORDA,LOPEZ VEGA CARLOS,RN,813,2704,30.07
2004,2,TALTAL,HIDALGO OCAMPO GUILLERMO,PS,2397,4821,49.72
2004,2,TOCOPILLA,MOYANO CRUZ LUIS RAFAEL,IND,3786,10765,35.17
2004,3,ALTO DEL CARMEN,BOU BOU CARMEN ANTONIA,IND,1434,2915,49.19
2004,3,CALDERA,GONZALEZ ANJEL BRUNILDA,IND,3850,6148,62.62
2004,3,CHAÑARAL,VOLTA ROJAS HECTOR ANTONIO,PRSD,4384,5989,73.20
2004,3,COPIAPO,LOPEZ RIVERA MARCOS,PS,22261,44510,50.01
2004,3,DIEGO DE ALMAGRO,ZAVALA TORRES ISAIAS FLORENCIO,PCCH,3978,7607,52.29
2004,3,FREIRINA,CEPEDA ALTAMIRANO LEONEL ERNESTO,PDC,1143,2947,38.79
2004,3,HUASCO,SABANDO SANTIBAÑEZ JUAN IVAN,PPD,2833,4014,70.58
2004,3,TIERRA AMARILLA,DELGADO QUEVEDO YHANSS,PS,2393,5571,42.95
2004,3,VALLENAR,SANTANA ALVAREZ JUAN HORACIO,PS,10659,21055,50.62
2004,4,ANDACOLLO,ORDENES GONZALEZ JORGE,PDC,3103,6197,50.07
2004,4,CANELA,TRIGO GONZALEZ NATHAN JOB,PCCH,2654,5072,52.33
2004,4,COMBARBALA,CONTADOR PEREZ HECTOR,PRSD,2125,6972,30.48
2004,4,COQUIMBO,VELASQUEZ SEGUEL PEDRO ANTONIO,PDC,42981,56911,75.52
2004,4,ILLAPEL,LEMUS ARACENA LUIS,PS,10562,12864,82.11
2004,4,LA HIGUERA,ALEGRIA BARRAZA EFRAIN,PS,1209,2179,55.48
2004,4,LA SERENA,SALDIVAR AUGER RAUL,PS,36193,61742,58.62
2004,4,LOS VILOS,SALINAS ALTAMIRANO CARLOS,PS,4042,8298,48.71
2004,4,MONTE PATRIA,CASTILLO BOILET JUAN CARLOS,PDC,7328,13704,53.47
2004,4,OVALLE,LOBOS INZUNZA MARTA,IND,18234,38766,47.04
2004,4,PAIHUANO,TORRES MEDINA LORENZO ROBERTO,PPD,1507,2463,61.19
2004,4,PUNITAQUI,ARAYA RIVERA BLAS OSCAR HUMBERTO,PPD,3457,5292,65.33
2004,4,RIO HURTADO,ZAPATA PASTEN LIDIA,PDC,1363,2640,51.63
2004,4,SALAMANCA,ROJAS ESCUDERO GERARDO,PPD,4857,10399,46.71
2004,4,VICUÑA,TORRES ESPEJO GLORIA,IND,3774,10801,34.94
