ano,decil,region,comuna,poblacion,idse,ipc,pobreza,escolaridad,vivienda_material_bueno,vivienda_alcantarillado,esperanza_de_vida,índice_desarrollo_humano,avpp_tasa,swaroop,mortalidad_infantil
2012,10,13,vitacura,79.6,0.992,1143.1,2.0,15.0,98.0,100.0,82.0,0.991,45.6,88.6,6.6
1992,10,13,vitacura,51.7,0.645,743.0,1.3,9.8,63.7,65.0,53.3,0.644,29.6,57.6,4.3
1996,10,13,vitacura,59.7,0.744,857.3,1.5,11.2,73.5,75.0,61.5,0.743,34.2,66.4,4.9
2000,10,13,vitacura,63.7,0.794,914.5,1.6,12.0,78.4,80.0,65.6,0.793,36.5,70.9,5.3
2004,10,13,vitacura,67.7,0.843,971.6,1.7,12.8,83.3,85.0,69.7,0.842,38.8,75.3,5.6
2008,10,13,vitacura,71.6,0.893,1028.8,1.8,13.5,88.2,90.0,73.8,0.892,41.0,79.7,5.9
2016,10,13,vitacura,91.5,1.141,1314.6,2.3,17.2,112.7,115.0,94.3,1.140,52.4,101.9,7.6
2012,10,13,las condes,288.1,0.970,953.0,1.7,14.7,97.9,99.6,82.2,0.972,39.6,87.4,5.1
1992,10,13,las condes,187.3,0.630,619.5,1.1,9.6,63.6,64.7,53.4,0.632,25.7,56.8,3.3
1996,10,13,las condes,216.1,0.728,714.8,1.3,11.0,73.4,74.7,61.7,0.729,29.7,65.6,3.8
2000,10,13,las condes,230.5,0.776,762.4,1.4,11.8,78.3,79.7,65.8,0.778,31.7,69.9,4.1
2004,10,13,las condes,244.9,0.825,810.0,1.4,12.5,83.2,84.7,69.9,0.826,33.7,74.3,4.3
2008,10,13,las condes,259.3,0.873,857.7,1.5,13.2,88.1,89.6,74.0,0.875,35.6,78.7,4.6
2016,10,13,las condes,331.3,1.115,1095.9,2.0,16.9,112.6,114.5,94.5,1.118,45.5,100.5,5.9
2012,10,13,providencia,126.6,0.968,966.7,1.3,14.6,95.8,100.0,80.0,0.931,57.7,89.7,8.0
1992,10,13,providencia,82.3,0.629,628.4,0.8,9.5,62.3,65.0,52.0,0.605,37.5,58.3,5.2
1996,10,13,providencia,94.9,0.726,725.0,1.0,10.9,71.8,75.0,60.0,0.698,43.3,67.3,6.0
2000,10,13,providencia,101.3,0.774,773.4,1.0,11.7,76.6,80.0,64.0,0.745,46.2,71.8,6.4
2004,10,13,providencia,107.6,0.823,821.7,1.1,12.4,81.4,85.0,68.0,0.791,49.0,76.2,6.8
2008,10,13,providencia,113.9,0.871,870.0,1.2,13.1,86.2,90.0,72.0,0.838,51.9,80.7,7.2
2016,10,13,providencia,145.6,1.113,1111.7,1.5,16.8,110.2,115.0,92.0,1.071,66.4,103.2,9.2
2012,10,13,ñuñoa,145.1,0.892,569.3,4.1,13.7,95.7,100.0,79.4,0.841,64.4,88.5,6.7
1992,10,13,ñuñoa,94.3,0.580,370.0,2.7,8.9,62.2,65.0,51.6,0.547,41.9,57.5,4.4
1996,10,13,ñuñoa,108.8,0.669,427.0,3.1,10.3,71.8,75.0,59.6,0.631,48.3,66.4,5.0
2000,10,13,ñuñoa,116.1,0.714,455.4,3.3,11.0,76.6,80.0,63.5,0.673,51.5,70.8,5.4
2004,10,13,ñuñoa,123.3,0.758,483.9,3.5,11.6,81.3,85.0,67.5,0.715,54.7,75.2,5.7
2008,10,13,ñuñoa,130.6,0.803,512.4,3.7,12.3,86.1,90.0,71.5,0.757,58.0,79.7,6.0
2016,10,13,ñuñoa,166.9,1.026,654.7,4.7,15.8,110.1,115.0,91.3,0.967,74.1,101.8,7.7
2012,10,13,santiago,164.0,0.833,487.5,6.9,13.1,87.1,98.5,76.0,0.733,108.3,79.0,6.3
1992,10,13,santiago,106.6,0.541,316.9,4.5,8.5,56.6,64.0,49.4,0.476,70.4,51.4,4.1
1996,10,13,santiago,123.0,0.625,365.6,5.2,9.8,65.3,73.9,57.0,0.550,81.2,59.2,4.7
2000,10,13,santiago,131.2,0.666,390.0,5.5,10.5,69.7,78.8,60.8,0.586,86.6,63.2,5.0
2004,10,13,santiago,139.4,0.708,414.4,5.9,11.1,74.0,83.7,64.6,0.623,92.1,67.1,5.4
2008,10,13,santiago,147.6,0.750,438.8,6.2,11.8,78.4,88.7,68.4,0.660,97.5,71.1,5.7
2016,10,13,santiago,188.6,0.958,560.6,7.9,15.1,100.2,113.3,87.4,0.843,124.5,90.8,7.2
2012,10,13,la reina,95.5,0.831,530.5,5.8,12.6,86.5,100.0,80.0,0.808,53.2,86.3,5.0
1992,10,13,la reina,62.1,0.540,344.8,3.8,8.2,56.2,65.0,52.0,0.525,34.6,56.1,3.2
1996,10,13,la reina,71.6,0.623,397.9,4.3,9.4,64.9,75.0,60.0,0.606,39.9,64.7,3.8
2000,10,13,la reina,76.4,0.665,424.4,4.6,10.1,69.2,80.0,64.0,0.646,42.6,69.0,4.0
2004,10,13,la reina,81.2,0.706,450.9,4.9,10.7,73.5,85.0,68.0,0.687,45.2,73.4,4.2
2008,10,13,la reina,86.0,0.748,477.4,5.2,11.3,77.9,90.0,72.0,0.727,47.9,77.7,4.5
2016,10,13,la reina,109.8,0.956,610.1,6.7,14.5,99.5,115.0,92.0,0.929,61.2,99.2,5.8
2012,10,13,lo barnechea,109.6,0.809,587.9,7.7,11.6,93.5,99.7,80.9,0.793,32.1,74.0,5.1
1992,10,13,lo barnechea,71.2,0.526,382.1,5.0,7.5,60.8,64.8,52.6,0.515,20.9,48.1,3.3
1996,10,13,lo barnechea,82.2,0.607,440.9,5.8,8.7,70.1,74.8,60.7,0.595,24.1,55.5,3.8
2000,10,13,lo barnechea,87.7,0.647,470.3,6.2,9.3,74.8,79.8,64.7,0.634,25.7,59.2,4.1
2004,10,13,lo barnechea,93.2,0.688,499.7,6.5,9.9,79.5,84.7,68.8,0.674,27.3,62.9,4.3
2008,10,13,lo barnechea,98.6,0.728,529.1,6.9,10.4,84.2,89.7,72.8,0.714,28.9,66.6,4.6
2016,10,13,lo barnechea,126.0,0.930,676.1,8.9,13.3,107.5,114.7,93.0,0.912,36.9,85.1,5.9
2012,10,13,san miguel,71.0,0.783,339.0,6.9,12.3,88.6,96.8,75.7,0.679,107.2,78.9,7.7
1992,10,13,san miguel,46.1,0.509,220.3,4.5,8.0,57.6,62.9,49.2,0.441,69.7,51.3,5.0
1996,10,13,san miguel,53.2,0.587,254.2,5.2,9.2,66.4,72.6,56.8,0.509,80.4,59.2,5.8
2000,10,13,san miguel,56.8,0.626,271.2,5.5,9.8,70.9,77.4,60.6,0.543,85.8,63.1,6.2
2004,10,13,san miguel,60.4,0.666,288.1,5.9,10.5,75.3,82.3,64.3,0.577,91.1,67.1,6.5
2008,10,13,san miguel,63.9,0.705,305.1,6.2,11.1,79.7,87.1,68.1,0.611,96.5,71.0,6.9
2016,10,13,san miguel,81.6,0.900,389.8,7.9,14.1,101.9,111.3,87.1,0.781,123.3,90.7,8.9
2012,10,12,cabo de hornos,2.8,0.781,287.7,3.8,11.7,93.6,99.0,70.4,0.559,9.4,75.0,0.0
1992,10,12,cabo de hornos,1.8,0.508,187.0,2.5,7.6,60.8,64.4,45.8,0.363,6.1,48.8,0.0
1996,10,12,cabo de hornos,2.1,0.586,215.8,2.8,8.8,70.2,74.2,52.8,0.419,7.1,56.2,0.0
2000,10,12,cabo de hornos,2.2,0.625,230.2,3.0,9.4,74.9,79.2,56.3,0.447,7.5,60.0,0.0
2004,10,12,cabo de hornos,2.4,0.664,244.5,3.2,9.9,79.6,84.1,59.8,0.475,8.0,63.8,0.0
2008,10,12,cabo de hornos,2.5,0.703,258.9,3.4,10.5,84.2,89.1,63.4,0.503,8.5,67.5,0.0
2016,10,12,cabo de hornos,3.2,0.898,330.9,4.4,13.5,107.6,113.8,81.0,0.643,10.8,86.2,0.0
2012,10,13,la florida,398.4,0.741,261.2,9.5,11.5,90.8,99.4,80.4,0.722,58.8,78.0,7.3
1992,10,13,la florida,259.0,0.482,169.8,6.2,7.5,59.0,64.6,52.3,0.469,38.2,50.7,4.7
1996,10,13,la florida,298.8,0.556,195.9,7.1,8.6,68.1,74.6,60.3,0.541,44.1,58.5,5.5
2000,10,13,la florida,318.7,0.593,209.0,7.6,9.2,72.6,79.5,64.3,0.578,47.0,62.4,5.8
2004,10,13,la florida,338.6,0.630,222.0,8.1,9.8,77.2,84.5,68.3,0.614,50.0,66.3,6.2
2008,10,13,la florida,358.6,0.667,235.1,8.6,10.3,81.7,89.5,72.4,0.650,52.9,70.2,6.6
2016,10,13,la florida,458.2,0.852,300.4,10.9,13.2,104.4,114.3,92.5,0.830,67.6,89.7,8.4
2012,10,13,maipú,548.8,0.741,260.9,8.2,11.6,90.0,96.7,81.0,0.739,51.1,73.1,6.8
1992,10,13,maipú,356.7,0.482,169.6,5.3,7.5,58.5,62.9,52.6,0.480,33.2,47.5,4.4
1996,10,13,maipú,411.6,0.556,195.7,6.1,8.7,67.5,72.5,60.8,0.554,38.3,54.8,5.1
2000,10,13,maipú,439.0,0.593,208.7,6.6,9.3,72.0,77.4,64.8,0.591,40.9,58.5,5.4
2004,10,13,maipú,466.5,0.630,221.8,7.0,9.9,76.5,82.2,68.8,0.628,43.4,62.1,5.8
2008,10,13,maipú,493.9,0.667,234.8,7.4,10.4,81.0,87.0,72.9,0.665,46.0,65.8,6.1
2016,10,13,maipú,631.1,0.852,300.0,9.4,13.3,103.5,111.2,93.1,0.850,58.8,84.1,7.8
2012,9,5,los andes,75.1,0.739,287.9,7.9,11.1,94.4,96.6,78.3,0.677,62.3,79.8,7.5
1992,9,5,los andes,48.8,0.480,187.1,5.1,7.2,61.4,62.8,50.9,0.440,40.5,51.9,4.9
1996,9,5,los andes,56.3,0.554,215.9,5.9,8.3,70.8,72.4,58.7,0.508,46.7,59.8,5.6
2000,9,5,los andes,60.1,0.591,230.3,6.3,8.9,75.5,77.3,62.6,0.542,49.8,63.8,6.0
2004,9,5,los andes,63.8,0.628,244.7,6.7,9.4,80.2,82.1,66.6,0.575,53.0,67.8,6.4
2008,9,5,los andes,67.6,0.665,259.1,7.1,10.0,85.0,86.9,70.5,0.609,56.1,71.8,6.8
2016,9,5,los andes,86.4,0.850,331.1,9.1,12.8,108.6,111.1,90.0,0.779,71.6,91.8,8.6
2012,9,12,punta arenas,125.2,0.733,284.6,6.5,10.6,94.4,98.0,75.8,0.619,91.7,73.7,9.3
1992,9,12,punta arenas,81.4,0.476,185.0,4.2,6.9,61.4,63.7,49.3,0.402,59.6,47.9,6.0
1996,9,12,punta arenas,93.9,0.550,213.5,4.9,7.9,70.8,73.5,56.8,0.464,68.8,55.3,7.0
2000,9,12,punta arenas,100.2,0.586,227.7,5.2,8.5,75.5,78.4,60.6,0.495,73.4,59.0,7.4
2004,9,12,punta arenas,106.4,0.623,241.9,5.5,9.0,80.2,83.3,64.4,0.526,77.9,62.6,7.9
2008,9,12,punta arenas,112.7,0.660,256.1,5.9,9.5,85.0,88.2,68.2,0.557,82.5,66.3,8.4
2016,9,12,punta arenas,144.0,0.843,327.3,7.5,12.2,108.6,112.7,87.2,0.712,105.5,84.8,10.7
2012,9,13,independencia,51.3,0.731,243.0,7.6,11.5,85.5,98.4,71.4,0.544,172.3,83.1,12.9
1992,9,13,independencia,33.3,0.475,158.0,4.9,7.5,55.6,64.0,46.4,0.354,112.0,54.0,8.4
1996,9,13,independencia,38.5,0.548,182.2,5.7,8.6,64.1,73.8,53.6,0.408,129.2,62.3,9.7
2000,9,13,independencia,41.0,0.585,194.4,6.1,9.2,68.4,78.7,57.1,0.435,137.8,66.5,10.3
2004,9,13,independencia,43.6,0.621,206.5,6.5,9.8,72.7,83.6,60.7,0.462,146.5,70.6,11.0
2008,9,13,independencia,46.2,0.658,218.7,6.8,10.3,77.0,88.6,64.3,0.490,155.1,74.8,11.6
2016,9,13,independencia,59.0,0.841,279.4,8.7,13.2,98.3,113.2,82.1,0.626,198.1,95.6,14.8
2012,9,12,porvenir,5.6,0.726,398.0,6.4,9.9,94.9,94.8,70.4,0.511,85.3,79.4,0.0
1992,9,12,porvenir,3.6,0.472,258.7,4.2,6.4,61.7,61.6,45.8,0.332,55.4,51.6,0.0
1996,9,12,porvenir,4.2,0.544,298.5,4.8,7.4,71.2,71.1,52.8,0.383,64.0,59.6,0.0
