decil,region,comuna,poblacion(miles),idse,economía_ingreso_per_capita(miles)2006-11,economía_pobreza(%)2006-11,educación_escolaridad(años)2006-11,vivienda_material_bueno(%)2006,vivienda_alcantarillado(%)2006,evn_e_idh_esperanza_de_vida(años)2005-2010,evn_e_idh_índice_desarrollo_humano,avpp_tasa(*1000h)2007-2011,swaroop(%defunc_50+_años)2011,mortalidad_infantil(*1000_nv)2009-2011
10,13,vitacura,79.6,0.992,1143.1,2.0,15.0,98.0,100.0,82.0,0.991,45.6,88.6,6.6
10,13,las condes,288.1,0.970,953.0,1.7,14.7,97.9,99.6,82.2,0.972,39.6,87.4,5.1
10,13,providencia,126.6,0.968,966.7,1.3,14.6,95.8,100.0,80.0,0.931,57.7,89.7,8.0
10,13,ñuñoa,145.1,0.892,569.3,4.1,13.7,95.7,100.0,79.4,0.841,64.4,88.5,6.7
10,13,santiago,164.0,0.833,487.5,6.9,13.1,87.1,98.5,76.0,0.733,108.3,79.0,6.3
10,13,la reina,95.5,0.831,530.5,5.8,12.6,86.5,100.0,80.0,0.808,53.2,86.3,5.0
10,13,lo barnechea,109.6,0.809,587.9,7.7,11.6,93.5,99.7,80.9,0.793,32.1,74.0,5.1
10,13,san miguel,71.0,0.783,339.0,6.9,12.3,88.6,96.8,75.7,0.679,107.2,78.9,7.7
10,12,cabo de hornos,2.8,0.781,287.7,3.8,11.7,93.6,99.0,70.4,0.559,9.4,75.0,0.0
10,13,la florida,398.4,0.741,261.2,9.5,11.5,90.8,99.4,80.4,0.722,58.8,78.0,7.3
10,13,maipú,548.8,0.741,260.9,8.2,11.6,90.0,96.7,81.0,0.739,51.1,73.1,6.8
9,5,los andes,75.1,0.739,287.9,7.9,11.1,94.4,96.6,78.3,0.677,62.3,79.8,7.5
9,12,punta arenas,125.2,0.733,284.6,6.5,10.6,94.4,98.0,75.8,0.619,91.7,73.7,9.3
9,13,independencia,51.3,0.731,243.0,7.6,11.5,85.5,98.4,71.4,0.544,172.3,83.1,12.9
