region,comuna,nombre_electo,sexo,partido,votacion_candidato,total,porcentaje
11,aisén,catalan sanchez oscar,h,IND,4011,9217,43.52
5,algarrobo,galvez fuenza jaime,h,IND,3400,6002,56.65
13,alhué,torres huerta roberto,h,IND,1738,3160,55.0
8,alto bio bio,piñaleo llaulen nivaldo,h,IND,1597,2812,56.79
3,alto del carmen,bou bou carmen antonia,m,IND,791,3019,26.2
1,alto hospicio,galleguillos castillo ramon,h,UDI,7448,12329,60.41
10,ancud,moreno nuñez soledad,m,IND,8523,16944,50.3
4,andacollo,alfaro aravena juan carlos,h,PS,3635,6070,59.88
9,angol,valdebenito burgos obdulio,h,PDC,9509,21707,43.81
2,antofagasta,rojo venegas karen paulina,m,IND,35110,73297,47.9
8,antuco,solar jara claudio,h,PDC,1198,2529,47.37
8,arauco,alarcon guzman mauricio,h,IND,8484,15256,55.61
15,arica,urrutia cardenas salvador pedro,h,PRO,17687,49738,35.56
13,buin,bozan ramos angel,h,IND,15359,28396,54.09
8,bulnes,sanchez fuentes ernesto,h,IND,5722,11220,51.0
5,cabildo,aliaga diaz patricio,h,IND,4016,9131,43.98
12,cabo de hornos,tapia villarroel pamela rosanna,m,IND,304,809,37.58
8,cabrero,gierke quevedo mario,h,IND,7924,13635,58.12
2,calama,velasquez nuñez esteban,h,IND,23769,40909,58.1
10,calbuco,cardenas gomez ruben rolando,h,PR,5765,11285,51.09
3,caldera,gonzalez brizuela patricia,m,IND,3549,6581,53.93
5,calera,martinez machuca eduardo,h,PDC,9988,16328,61.17
13,calera de tango,valenzuela santibañez erasmo,h,IND,5810,10134,57.33
5,calle larga,venegas salazar nelson,h,PS,4208,6005,70.07
15,camarones,romero menacho martin ivan,h,IND,1157,2560,45.2
1,camiña,garcia caceres sixto,h,RN,858,1633,52.54
4,canela,leyton lemus juan bernardo,h,IND,2612,5202,50.21
8,cañete,silva sanhueza abraham,h,PDC,7023,13561,51.79
9,carahue,vera paredes pedro,h,PR,7744,13163,58.83
5,cartagena,garcia tapia rodrigo,h,IND,4683,8998,52.04
5,casablanca,martinez roca rodrigo,h,RN,4004,10994,36.42
10,castro,aguila serpa nelson hugo,h,PDC,7834,14047,55.77
